"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"7345","アイ・パートナーズフィナンシャ","東G","821","+7.0(+0.86%)","0.86","1,559","1.94","14.90","56.68","0.22","32.15","1.83","76.42"
"7347","マーキュリアＨＬＤＧ","東P","815","+4.0(+0.49%)","0.49","15,470","-0.12","-2.35","23.30","0.31","17.00","-0.86","48.86"
"7350","おきなわＦＧ","東P","5170","-40.0(-0.77%)","-0.77","197,618","-0.46","4.36","166.22","0.49","29.48","1.01","62.11"
"7351","グッドパッチ","東G","544","-7.0(-1.27%)","-1.27","9,406","-1.77","-9.37","22.80","0.52","36.35","-1.67","24.00"
"7352","ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ","東G","701","-20.0(-2.77%)","-2.77","107,691","-5.42","-11.48","13.61","0.69","41.99","-1.64","22.32"
"7353","ＫＩＹＯラーニング","東G","669","-11.0(-1.62%)","-1.62","4,864","-1.93","-1.62","10.21","1.46","29.62","-1.43","48.33"
"7354","ＤｍＭＩＸ","東S","314","+1.0(+0.32%)","0.32","32,604","-1.75","3.44","71.58","0.49","37.74","0.84","70.00"
"7356","ＲＥＴＴＹ","東G","154","+3.0(+1.99%)","1.99","1,848","0.65","-2.41","23.20","0.37","71.08","-1.11","32.00"
"7357","ジオコード","東S","1613","-56.0(-3.36%)","-3.36","23,600","1.03","10.26","216.27","0.76","22.48","1.59","69.05"
"7358","ポピンズ","東S","1390","+15.0(+1.09%)","1.09","30,855","-0.81","-2.78","41.26","0.39","25.62","-1.69","47.16"
"7359","東京通信グループ","東G","349","-8.0(-2.24%)","-2.24","27,654","4.37","12.58","90.71","0.25","44.46","2.16","70.00"
"7360","オンデック","東G","849","+53.0(+6.66%)","6.66","12,797","4.92","3.98","20.94","12.58","65.11","0.35","21.53"
"7361","ヒューマンクリエイションＨＬＤ","東G","1396","-3.0(-0.21%)","-0.21","697","-0.17","1.96","48.04","0.10","19.56","0.61","55.36"
"7362","Ｔ．Ｓ．Ｉ","東G","806","-10.0(-1.23%)","-1.23","244","-0.52","1.03","20.30","0.25","24.87","0.70","61.29"
"7363","ベビーカレンダー","東G","1600","+0.0(+0.00%)","0.00","479","-0.02","-0.29","59.20","0.16","32.26","-0.22","38.81"
"7366","ＬＩＴＡＬＩＣＯ","東P","1217","-45.0(-3.57%)","-3.57","534,726","-4.82","-6.10","50.81","1.67","32.23","-3.49","35.74"
"7367","セルム","東S","348","-1.0(-0.29%)","-0.29","419","-0.74","-0.33","25.63","0.12","14.15","-0.31","55.56"
"7368","表示灯","東S","1710","-15.0(-0.87%)","-0.87","2,739","-0.65","0.22","22.14","1.60","16.77","0.17","43.00"
"7369","メイホーＨＬＤＧ","東G","600","+12.0(+2.04%)","2.04","7,416","1.87","2.75","14.07","4.81","36.02","2.62","62.96"
"7370","Ｅｎｊｉｎ","東G","835","+8.0(+0.97%)","0.97","13,383","0.72","2.24","33.39","0.98","18.81","1.44","55.63"
"7371","Ｚｅｎｋｅｎ","東G","687","-7.0(-1.01%)","-1.01","3,516","-1.74","1.34","37.95","0.35","24.67","0.46","55.08"
"7372","デコルテＨＬＤＧ","東G","420","-2.0(-0.47%)","-0.47","1,224","0.05","3.84","67.33","0.09","67.84","1.26","80.49"
"7373","アイドマＨＬＤＧ","東G","2216","+30.0(+1.37%)","1.37","158,634","-0.06","-20.23","81.19","0.49","67.11","-1.43","22.54"
"7374","コンフィデンス・インターワーク","東G","1684","-9.0(-0.53%)","-0.53","2,533","-0.71","2.91","34.08","0.20","11.53","1.28","66.48"
"7375","リファインバースグループ","東G","915","-1.0(-0.11%)","-0.11","1,830","1.46","9.13","45.70","0.38","48.29","1.85","74.07"
"7377","ＤＮ　ＨＬＤＧ","東S","2077","+11.0(+0.53%)","0.53","1,240","0.05","0.71","26.18","0.67","15.71","1.20","61.21"
"7378","アシロ","東G","1918","+6.0(+0.31%)","0.31","105,734","2.22","16.38","65.20","0.41","45.43","1.54","85.79"
"7380","十六ＦＧ","東P","8290","+70.0(+0.85%)","0.85","582,431","0.19","10.35","132.87","0.36","27.23","1.30","73.56"
"7381","ＣＣＩグループ","東P","926","-12.0(-1.28%)","-1.28","554,117","-2.40","6.63","50.81","0.67","37.39","0.62","61.60"
"7383","ネットプロテクションズＨＬＤＧ","東P","502","-6.0(-1.18%)","-1.18","1,030,014","-3.09","-7.80","37.16","0.86","64.30","-2.21","37.12"
"7384","プロクレアＨＬＤＧ","東P","2680","+21.0(+0.79%)","0.79","218,748","0.01","16.94","105.68","0.30","35.28","1.44","82.88"
"7388","ＦＰパートナー","東P","2253","-6.0(-0.27%)","-0.27","130,742","-1.31","3.04","17.28","0.51","31.90","0.58","58.29"
"7389","あいちＦＧ","東P","5490","+20.0(+0.37%)","0.37","225,182","-0.25","9.27","152.76","0.33","29.82","1.19","74.26"
"7399","ナンシン","東S","598","+3.0(+0.50%)","0.50","1,132","-0.30","0.54","22.04","1.06","15.68","0.32","48.31"
"7409","ＡｅｒｏＥｄｇｅ","東G","3235","-20.0(-0.61%)","-0.61","238,983","-0.52","21.44","57.04","0.38","83.00","1.12","62.11"
"7412","アトム","東S","605","+2.0(+0.33%)","0.33","201,961","0.90","7.43","18.63","0.80","23.16","1.58","81.61"
"7414","小野建","東P","1418","+1.0(+0.07%)","0.07","63,578","-1.17","-1.21","13.44","0.55","15.59","-0.66","43.23"
"7416","はるやまＨＬＤＧ","東S","845","+13.0(+1.56%)","1.56","13,038","6.24","14.41","57.65","0.84","20.04","2.72","78.21"
"7417","南陽","東S","1482","-16.0(-1.07%)","-1.07","8,788","-1.13","0.58","45.01","0.39","18.67","0.22","43.51"
"7419","ノジマ","東P","1235","+4.0(+0.32%)","0.32","571,645","0.23","1.95","12.99","0.94","29.71","1.00","63.76"
"7420","佐鳥電機","東P","1864","+10.0(+0.54%)","0.54","50,651","-0.95","-0.59","39.63","0.37","16.01","-0.33","47.01"
"7421","カッパ・クリエイト","東P","1574","+4.0(+0.25%)","0.25","65,414","-0.05","0.51","19.79","0.45","14.36","0.62","59.72"
"7422","東邦レマック","東S","486","-1.0(-0.21%)","-0.21","1,410","-0.90","-2.59","42.11","0.35","18.55","-2.13","16.67"
"7425","初穂商事","東S","2349","+50.0(+2.17%)","2.17","235","0.48","7.01","62.90","0.03","24.55","1.55","75.37"
"7426","山大","東S","1229","+2.0(+0.16%)","0.16","2,841","0.51","7.24","44.25","0.68","23.72","1.32","77.31"
"7427","エコートレーディング","東S","940","-3.0(-0.32%)","-0.32","1,500","0.04","1.27","32.39","0.26","8.87","0.89","51.56"
"7433","伯東","東P","3925","+10.0(+0.26%)","0.26","115,276","-1.23","-0.36","17.87","0.28","17.89","-0.29","50.00"
"7434","オータケ","東S","1958","+20.0(+1.03%)","1.03","20,895","-0.41","0.46","23.38","4.28","21.69","0.19","52.63"
"7435","ナ・デックス","東S","970","-5.0(-0.51%)","-0.51","194","-0.16","-0.72","16.17","0.04","11.74","-1.15","40.30"
"7438","コンドーテック","東P","1492","-10.0(-0.67%)","-0.67","35,171","-1.05","-3.48","23.82","0.79","22.63","-1.99","20.86"
"7442","中山福","東S","478","+1.0(+0.21%)","0.21","4,370","-0.46","4.24","38.55","0.83","13.83","0.86","74.14"
"7443","横浜魚類","東S","663","+8.0(+1.22%)","1.22","1,915","1.22","3.23","14.71","1.32","9.84","2.35","66.67"
"7444","ハリマ共和物産","東S","2070","-17.0(-0.81%)","-0.81","1,252","-0.09","5.02","16.03","0.35","11.80","1.72","79.43"
"7445","ライトオン","東S","306","+0.0(+0.00%)","0.00","13,524","0.79","1.50","71.91","0.54","25.59","1.65","60.00"
"7446","東北化学薬品","東S","3885","-35.0(-0.89%)","-0.89","781","-1.47","1.02","6.44","0.33","11.85","0.66","56.82"
"7447","ナガイレーベン","東P","1801","-20.0(-1.10%)","-1.10","88,688","-1.37","-2.77","4.59","0.69","22.32","-1.17","43.96"
"7453","良品計画","東P","3059.0","+22.0(+0.72%)","0.72","11,506,034","-0.13","3.06","16.62","0.99","48.01","0.65","56.43"
"7455","パリミキＨＬＤＧ","東S","577","+1.0(+0.17%)","0.17","2,304","0.10","0.06","137.45","0.29","54.37","0.23","60.00"
"7456","松田産業","東P","6250","+110.0(+1.79%)","1.79","552,378","0.81","9.99","130.63","0.84","34.04","1.36","74.19"
"7458","第一興商","東P","1678.0","-11.0(-0.65%)","-0.65","209,608","-0.96","-0.77","11.27","0.69","15.73","-1.06","41.24"
"7459","メディパルＨＬＤＧ","東P","2849.0","-14.0(-0.49%)","-0.49","307,479","-0.99","0.38","32.14","0.27","19.04","0.26","54.68"
"7460","ヤギ","東S","3515","-10.0(-0.28%)","-0.28","4,908","-0.68","0.76","104.60","0.58","22.52","0.27","59.41"
"7461","キムラ","東S","503","-1.0(-0.20%)","-0.20","453","-0.95","0.39","28.64","0.09","13.28","0.41","53.19"
"7462","ＣＡＰＩＴＡ","東S","597","+0.0(+0.00%)","0.00","5,791","-0.37","3.69","113.21","0.65","47.32","0.68","75.00"
"7463","アドヴァングループ","東S","984","-8.0(-0.81%)","-0.81","32,971","-0.85","4.13","36.86","0.57","18.63","1.11","69.85"
"7464","セフテック","東S","1631","-6.0(-0.37%)","-0.37","1,632","-0.60","-0.21","2.26","0.33","10.36","-0.41","38.67"
"7466","ＳＰＫ","東P","2359","+8.0(+0.34%)","0.34","26,873","-0.77","-0.98","29.62","0.52","17.50","-0.62","35.44"
"7467","萩原電気ＨＬＤＧ","東P","3670","+40.0(+1.10%)","1.10","86,146","-1.02","-0.68","38.49","0.40","19.82","-0.33","46.02"
"7472","鳥羽洋行","東S","4065","+50.0(+1.25%)","1.25","1,616","0.47","0.45","35.50","0.40","13.73","0.61","47.69"
"7475","アルビス","東P","2670","-20.0(-0.74%)","-0.74","17,673","-1.29","-0.97","4.09","0.34","11.60","-0.83","38.24"
"7476","アズワン","東P","2393.0","-8.0(-0.33%)","-0.33","175,695","-0.34","-2.04","10.86","0.40","23.49","-1.50","39.43"
"7477","ムラキ","東S","1850","+9.0(+0.49%)","0.49","12,278","1.29","19.76","65.18","0.94","60.90","1.92","76.09"
"7480","スズデン","東S","1711","-13.0(-0.75%)","-0.75","26,078","-1.53","0.09","5.16","0.56","13.07","0.04","47.72"
"7481","尾家産業","東S","2543","-15.0(-0.59%)","-0.59","2,042","-0.55","4.72","49.68","0.14","15.41","0.79","67.23"
"7482","シモジマ","東P","1372","-11.0(-0.80%)","-0.80","29,442","-1.42","-0.65","28.83","0.41","14.04","-0.40","38.05"
"7483","ドウシシャ","東P","3285","-70.0(-2.09%)","-2.09","329,953","-2.75","-1.66","67.86","1.34","20.42","-0.75","42.57"
"7485","岡谷鋼機","名P","9610","+110.0(+1.16%)","1.16","20,184","0.08","4.21","56.51","0.53","17.25","0.74","66.67"
"7486","サンリン","東S","776","-4.0(-0.51%)","-0.51","234","-1.40","-1.27","20.50","1.00","21.06","-0.52","44.68"
"7487","小津産業","東S","1803","-2.0(-0.11%)","-0.11","7,577","0.03","1.15","11.23","1.02","4.25","1.35","76.19"
"7488","ヤガミ","名M","5380","+10.0(+0.19%)","0.19","9,130","0.41","9.52","97.87","0.37","19.24","1.39","92.65"
"7490","日新商事","東S","1300","-12.0(-0.91%)","-0.91","2,342","-0.52","3.80","58.34","0.50","19.33","0.94","64.52"
"7494","コナカ","東S","251","+0.0(+0.00%)","0.00","6,377","-0.24","1.32","26.77","1.04","11.93","0.68","66.67"
"7500","西川計測","東S","10970","+270.0(+2.52%)","2.52","1,097","0.31","-10.77","44.72","0.11","38.85","-1.35","35.48"
"7501","ティムコ","東S","1627","-40.0(-2.40%)","-2.40","1,450","-1.35","2.30","125.97","0.25","71.73","0.41","55.69"
"7502","プラザＨＬＤＧ","東S","1796","+2.0(+0.11%)","0.11","7,002","-2.59","-6.11","5.58","0.05","11.55","-2.66","22.32"
"7504","高速","東P","3065","-25.0(-0.81%)","-0.81","64,544","-1.07","1.52","68.31","0.49","18.01","0.68","58.07"
"7505","扶桑電通","東S","1959","-11.0(-0.56%)","-0.56","12,499","-1.30","2.12","35.66","0.86","53.09","0.68","65.95"
"7506","ハウス　オブ　ローゼ","東S","1398","-1.0(-0.07%)","-0.07","4,475","-0.20","-0.15","4.25","0.67","35.57","-0.05","51.41"
"7508","Ｇ―７ＨＬＤＧ","東P","1469","-27.0(-1.80%)","-1.80","74,236","-1.05","2.04","27.30","0.66","24.95","0.79","65.80"
"7509","アイエーグループ","東S","4245","+70.0(+1.68%)","1.68","425","1.39","2.36","41.97","0.50","21.56","1.15","58.33"
"7510","たけびし","東P","2380","+20.0(+0.85%)","0.85","45,816","0.50","4.50","56.89","0.45","20.21","1.28","69.09"
"7512","イオン北海道","東S","951","+0.0(+0.00%)","0.00","78,550","0.06","3.11","19.17","0.51","11.83","1.50","70.00"
"7513","コジマ","東P","1255","-22.0(-1.72%)","-1.72","142,290","-1.65","2.35","39.91","0.38","26.25","0.52","64.71"
"7514","ヒマラヤ","東S","881","-1.0(-0.11%)","-0.11","4,759","-0.02","1.99","10.12","0.95","5.28","1.02","83.87"
"7515","マルヨシセンター","東S","4645","-45.0(-0.96%)","-0.96","2,335","-0.43","0.98","22.24","1.00","16.39","0.52","53.70"
"7516","コーナン商事","東P","3880","-25.0(-0.64%)","-0.64","249,105","-0.44","-2.26","18.47","0.79","14.98","-1.50","32.94"
"7520","エコス","東P","3015","-70.0(-2.27%)","-2.27","89,480","-2.27","-1.96","56.38","0.68","23.17","-1.21","49.16"
"7521","ムサシ","東S","2513","-23.0(-0.91%)","-0.91","25,159","-0.16","2.66","72.01","0.78","28.55","0.55","60.43"
"7522","ワタミ","東P","942","-7.0(-0.74%)","-0.74","39,072","-1.15","-2.07","5.61","0.68","17.67","-2.44","44.12"
"7523","アールビバン","東S","1679","+15.0(+0.90%)","0.90","4,396","-2.11","-1.81","82.50","0.20","34.18","-0.98","45.61"
"7524","マルシェ","東S","196","+3.0(+1.55%)","1.55","1,016","0.41","1.53","24.05","0.41","12.77","1.33","53.33"
"7525","リックス","東P","3730","-20.0(-0.53%)","-0.53","27,600","-2.02","-1.81","52.18","0.31","18.34","-0.93","47.06"
"7527","システムソフト","東S","67","+0.0(+0.00%)","0.00","113,479","-1.47","1.09","48.89","0.98","43.46","0.27","53.33"
"7531","清和中央ＨＬＤＧ","東S","1560","-17.0(-1.08%)","-1.08","625","-1.20","3.68","22.83","1.00","22.00","1.02","56.69"
"7532","パン・パシフィック・インターナ","東P","928.5","+0.8(+0.09%)","0.09","2,924,040","-0.45","-0.50","7.86","0.47","29.82","-0.21","50.56"
"7537","丸文","東P","1395","+20.0(+1.45%)","1.45","113,421","1.20","4.98","83.31","0.43","25.62","1.20","58.64"
"7538","大水","東S","402","+12.0(+3.08%)","3.08","3,250","0.65","7.05","39.58","0.59","20.59","1.53","68.49"
"7539","アイナボＨＬＤＧ","東S","753","-3.0(-0.40%)","-0.40","2,037","-0.32","1.46","32.57","0.30","14.69","0.75","64.29"
"7544","スリーエフ","東S","582","-6.0(-1.02%)","-1.02","4,397","-0.78","0.94","50.39","3.17","15.12","0.37","35.00"
"7545","西松屋チェーン","東P","2153","-27.0(-1.24%)","-1.24","299,421","-0.10","1.71","7.92","0.39","21.70","0.74","63.98"
"7550","ゼンショーＨＬＤＧ","東P","8451.0","-98.0(-1.15%)","-1.15","1,485,031","-1.13","-4.09","17.88","0.41","22.64","-1.83","32.25"
"7551","ウェッズ","東S","675","-1.0(-0.15%)","-0.15","1,891","-0.47","0.65","20.54","0.15","12.24","0.32","48.61"
"7552","ハピネット","東P","2832","-38.0(-1.32%)","-1.32","249,377","-1.49","-2.80","0.14","0.66","24.69","-1.90","29.67"
"7554","幸楽苑","東P","1140","-8.0(-0.70%)","-0.70","74,132","-0.89","-0.47","23.91","0.89","24.27","-0.26","48.20"
"7555","大田花き","東S","752","-1.0(-0.13%)","-0.13","226","-0.08","0.28","3.72","1.00","6.50","0.66","46.67"
"7561","ハークスレイ","東S","693","-4.0(-0.57%)","-0.57","21,879","-0.49","4.30","22.01","0.99","13.94","1.40","75.90"
"7562","安楽亭","東S","3740","+0.0(+0.00%)","0.00","2,990","0.11","1.03","3.74","0.40","5.65","1.16","57.14"
"7564","ワークマン","東S","6460","-90.0(-1.37%)","-1.37","811,957","-1.49","-1.08","68.89","0.43","32.01","-0.54","56.59"
"7565","萬世電機","東S","5900","-70.0(-1.17%)","-1.17","590","-1.07","0.25","51.28","0.25","28.48","0.11","36.96"
"7567","栄電子","東S","500","-2.0(-0.40%)","-0.40","501","0.16","0.94","27.88","0.36","23.39","0.40","42.55"
"7570","橋本総業ＨＬＤＧ","東S","1318","-3.0(-0.23%)","-0.23","9,632","-0.75","0.65","29.34","0.33","19.83","0.24","50.88"
"7571","ヤマノＨＬＤＧ","東S","120","+4.0(+3.45%)","3.45","340,201","7.53","9.73","130.77","0.40","42.80","3.08","64.52"
"7575","日本ライフライン","東P","1587","+20.0(+1.28%)","1.28","182,133","0.61","-0.44","18.26","0.77","19.17","-0.34","39.18"
"7578","ニチリョク","東S","125","+1.0(+0.81%)","0.81","2,824","-0.16","4.62","13.64","0.16","19.09","1.17","70.59"
"7581","サイゼリヤ","東P","6230","-110.0(-1.74%)","-1.74","973,337","-0.57","5.72","64.81","0.48","37.87","0.93","58.82"
"7585","かんなん丸","東S","415","+0.0(+0.00%)","0.00","791","-0.14","-1.28","19.94","0.35","15.99","-0.89","43.48"
"7590","タカショー","東S","403","+0.0(+0.00%)","0.00","19,578","-0.79","-4.49","15.14","0.60","23.33","-1.70","11.90"
"7593","ＶＴ　ＨＬＤＧ","東P","543","-5.0(-0.91%)","-0.91","70,420","-0.69","0.54","24.54","0.50","14.43","0.37","52.31"
"7595","アルゴグラフィックス","東P","1512","-23.0(-1.50%)","-1.50","120,147","-2.41","-5.81","25.06","0.51","31.82","-2.43","31.89"
"7596","魚力","東P","2334","-7.0(-0.30%)","-0.30","28,969","-0.65","-1.10","4.29","0.75","9.55","-1.67","40.17"
"7599","ＩＤＯＭ","東P","1541","+37.0(+2.46%)","2.46","3,297,880","8.51","15.30","62.72","0.44","32.40","3.06","73.24"
"7600","日本エム・ディ・エム","東P","489","+1.0(+0.20%)","0.20","22,506","-0.93","-0.96","6.30","0.61","22.62","-0.52","41.54"
"7602","レダックス","東S","300","+27.0(+9.89%)","9.89","2,996,488","28.64","64.91","156.41","1.42","100.84","3.22","88.46"
"7604","梅の花グループ","東S","848","-1.0(-0.12%)","-0.12","5,594","-0.02","1.92","5.87","0.70","10.04","1.31","87.50"
"7606","ユナイテッドアローズ","東P","2408","-20.0(-0.82%)","-0.82","118,024","-0.79","-0.99","26.74","0.46","25.39","-1.12","47.08"
"7607","進和","東P","3090","-5.0(-0.16%)","-0.16","34,913","-1.72","-1.26","21.94","0.37","17.75","-0.63","42.22"
"7608","エスケイジャパン","東S","1556","+0.0(+0.00%)","0.00","71,691","-0.47","2.12","168.28","0.74","35.07","0.79","48.57"
"7609","ダイトロン","東P","2548","+61.0(+2.45%)","2.45","106,086","-0.38","1.77","6.43","0.33","31.01","0.70","51.29"
"7610","テイツー","東S","145","+0.0(+0.00%)","0.00","37,093","-0.82","-2.53","43.56","0.56","24.11","-1.28","40.74"
"7611","ハイデイ日高","東P","3155","-55.0(-1.71%)","-1.71","229,914","-1.50","-5.84","24.90","0.62","21.13","-1.75","27.59"
"7613","シークス","東P","1261","-4.0(-0.32%)","-0.32","80,731","-2.43","-4.41","43.13","0.35","27.85","-2.40","38.65"
"7614","オーエムツーネットワーク","東S","1611","+15.0(+0.94%)","0.94","10,122","0.67","2.56","26.75","1.21","65.74","1.16","58.02"
"7615","京都きもの友禅ＨＬＤＧ","東S","152","+1.0(+0.66%)","0.66","28,629","0.66","-0.34","133.85","1.02","46.33","-0.20","58.33"
"7616","コロワイド","東P","1767.0","-13.0(-0.73%)","-0.73","460,605","-0.16","0.33","10.33","0.65","14.76","0.30","51.30"
"7619","田中商事","東S","910","-2.0(-0.22%)","-0.22","2,371","0.04","1.88","58.26","0.46","17.03","0.79","56.25"
"7621","うかい","東S","3345","-25.0(-0.74%)","-0.74","2,682","-0.56","-0.45","3.56","0.73","9.77","-0.34","45.95"
"7624","ＮａＩＴＯ","東S","142","+0.0(+0.00%)","0.00","980","-0.28","1.08","26.79","0.30","22.59","0.42","63.64"
"7625","グローバルダイニング","東S","401","+2.0(+0.50%)","0.50","841","-0.10","-1.97","33.22","1.62","26.19","-0.62","64.29"
"7628","オーハシテクニカ","東P","1186","-12.0(-1.00%)","-1.00","32,515","-2.10","-2.32","1.11","0.78","26.90","-0.92","43.58"
"7630","壱番屋","東P","905","-4.0(-0.44%)","-0.44","193,331","-0.31","-1.66","4.62","0.78","14.39","-1.44","41.56"
"7634","星医療酸器","東S","5020","-20.0(-0.40%)","-0.40","2,008","-0.48","0.06","18.12","0.40","18.15","0.05","48.65"
"7635","杉田エース","東S","1696","+1.0(+0.06%)","0.06","1,865","0.05","-0.03","52.52","0.42","52.26","-0.10","60.00"
"7636","ハンズマン","東S","825","-1.0(-0.12%)","-0.12","2,559","-0.27","-0.36","14.58","0.91","7.35","-0.38","49.12"
"7637","白銅","東P","2361","-19.0(-0.80%)","-0.80","17,713","-1.83","-0.32","31.17","0.20","16.24","-0.10","46.78"
"7638","ＮＥＷ　ＡＲＴ　ＨＬＤＧ","東S","1462","+18.0(+1.25%)","1.25","27,327","-0.29","-0.84","20.83","0.23","15.52","-0.71","44.71"
"7640","トップカルチャー","東S","205","+2.0(+0.99%)","0.99","4,459","-0.10","-3.06","75.21","0.58","70.35","-0.78","32.50"
"7643","ダイイチ","東S","1805","+4.0(+0.22%)","0.22","1,621","-0.50","2.63","42.58","0.27","13.32","0.92","71.81"
"7646","ＰＬＡＮＴ","東S","1996","-109.0(-5.18%)","-5.18","68,641","-4.43","0.15","58.54","3.31","19.36","0.03","54.08"
"7649","スギＨＬＤＧ","東P","3805.0","+9.0(+0.24%)","0.24","832,618","-0.13","2.26","60.38","0.49","29.02","0.88","56.09"
"7670","オーウエル","東S","1100","+6.0(+0.55%)","0.55","1,317","0.27","2.40","46.47","0.18","17.15","1.65","72.60"
"7673","ダイコー通産","東S","1674","-20.0(-1.18%)","-1.18","335","-0.79","-0.61","46.84","0.11","19.35","-0.20","38.86"
"7674","ＮＡＴＴＹ　ＳＷＡＮＫＹＨＬＤ","東G","3035","-5.0(-0.16%)","-0.16","18,224","-0.16","-0.09","1.17","0.65","5.02","-0.25","47.37"
"7675","セントラルフォレストグループ","名M","2738","-22.0(-0.80%)","-0.80","3,340","0.13","-0.59","14.13","4.00","15.37","-0.51","41.67"
"7678","あさくま","東S","4870","+5.0(+0.10%)","0.10","106,509","0.02","1.25","38.75","0.72","11.25","1.03","70.27"
"7679","薬王堂ＨＬＤＧ","東P","2058","-13.0(-0.63%)","-0.63","67,789","-0.54","-2.83","31.08","0.69","23.71","-1.21","22.67"
"7681","レオクラン","東S","1028","+17.0(+1.68%)","1.68","1,516","-0.10","1.08","28.82","1.88","42.21","0.73","52.21"
"7682","浜木綿","東S","4080","+10.0(+0.25%)","0.25","1,224","0.29","1.75","6.95","0.38","8.92","1.08","67.39"
"7683","ダブルエー","東P","1423","+1.0(+0.07%)","0.07","34,191","0.38","2.06","34.25","0.53","13.55","1.32","68.22"
"7685","ＢｕｙＳｅｌｌ　Ｔｅｃｈ","東G","5030","+0.0(+0.00%)","0.00","292,156","1.58","3.41","125.26","0.54","47.87","1.18","64.61"
"7686","ひとまいる","東S","441","-3.0(-0.68%)","-0.68","3,538","-0.94","0.57","9.16","0.44","14.28","0.32","60.71"
"7687","ミクリード","東G","514","-11.0(-2.10%)","-2.10","9,026","-2.21","3.98","37.43","1.24","26.63","0.73","60.32"
"7689","コパ・コーポレーション","東G","414","-5.0(-1.19%)","-1.19","6,226","-1.19","-4.27","3.24","1.59","33.57","-0.91","35.25"
"7692","アースインフィニティ","東S","102","-2.0(-1.92%)","-1.92","34,658","-1.73","-1.81","30.77","0.45","28.80","-0.68","33.33"
"7694","いつも","東G","678","+21.0(+3.20%)","3.20","51,156","0.30","0.75","124.50","1.90","72.63","0.07","27.91"
"7695","交換できるくん","東G","809","+7.0(+0.87%)","0.87","2,261","0.72","0.57","3.32","0.36","22.45","1.01","54.35"
"7698","アイスコ","東S","2530","-67.0(-2.58%)","-2.58","8,478","-3.18","7.11","58.12","0.59","22.79","1.02","71.70"
"7699","オムニ・プラス・システム","東G","794","-11.0(-1.37%)","-1.37","392","-1.05","-1.43","35.73","5.00","18.86","-1.31","31.82"
"7701","島津製作所","東P","4327.0","-9.0(-0.21%)","-0.21","1,110,650","-0.10","0.99","34.00","0.37","24.52","0.64","56.57"
"7702","ＪＭＳ","東S","446","-2.0(-0.45%)","-0.45","11,945","-0.58","-0.12","10.12","1.02","16.16","-0.09","46.77"
"7707","プレシジョン・システム・サイエ","東G","234","+8.0(+3.54%)","3.54","26,968","4.00","14.75","42.68","0.59","36.52","1.63","77.63"
"7709","クボテック","東S","183","-6.0(-3.17%)","-3.17","63,548","-3.17","-1.08","18.06","33.48","25.95","-0.40","54.55"
"7713","シグマ光機","東S","1576","+2.0(+0.13%)","0.13","15,938","-0.29","1.23","40.97","1.55","12.31","0.63","52.98"
"7715","長野計器","東P","2681","+10.0(+0.37%)","0.37","104,112","-0.16","4.86","75.11","0.31","28.92","1.06","64.44"
"7716","ナカニシ","東S","2191","+7.0(+0.32%)","0.32","224,329","-0.25","6.91","24.77","0.57","28.80","1.57","77.81"
"7717","ブイ・テクノロジー","東P","3155","+70.0(+2.27%)","2.27","124,659","-0.85","2.23","87.57","0.36","41.41","0.64","51.19"
"7719","東京衡機","東S","317","+2.0(+0.63%)","0.63","9,894","0.25","3.39","92.12","0.71","66.08","0.38","58.29"
"7721","東京計器","東P","6830","+110.0(+1.64%)","1.64","1,112,689","0.18","9.73","172.00","0.53","57.10","0.79","67.54"
"7722","国際計測器","東S","980","-4.0(-0.41%)","-0.41","43,551","-1.55","2.20","112.58","0.72","37.82","0.37","63.84"
"7723","愛知時計電機","東P","2808","-2.0(-0.07%)","-0.07","42,269","-0.83","2.09","67.74","0.40","29.82","0.64","59.05"
"7725","インターアクション","東P","1442","+24.0(+1.69%)","1.69","67,835","-0.47","0.79","45.95","0.35","33.23","0.27","52.76"
"7726","黒田精工","東S","999","+4.0(+0.40%)","0.40","8,746","-2.23","-0.60","36.29","0.26","40.08","-0.25","50.64"
"7727","オーバル","東S","759","+1.0(+0.13%)","0.13","58,949","-0.32","15.09","129.31","0.32","38.68","1.59","83.33"
"7729","東京精密","東P","13570.0","+475.0(+3.63%)","3.63","2,709,661","2.11","13.51","120.72","0.59","42.19","1.73","72.88"
"7730","マニー","東P","1574","-4.0(-0.25%)","-0.25","241,613","-1.24","3.60","50.69","0.65","28.69","0.86","64.29"
"7731","ニコン","東P","1964.0","+47.5(+2.48%)","2.48","1,779,157","2.11","8.76","58.58","0.37","25.12","1.99","76.28"
"7733","オリンパス","東P","1851.5","+5.0(+0.27%)","0.27","3,747,274","-1.12","-7.13","28.31","0.51","32.78","-1.86","21.77"
"7734","理研計器","東P","3260","-105.0(-3.12%)","-3.12","141,770","-2.92","-0.06","50.93","0.49","27.35","-0.03","53.51"
"7735","ＳＣＲＥＥＮ　ＨＬＤＧ","東P","19430.0","+400.0(+2.10%)","2.10","13,652,158","1.55","19.48","148.31","0.48","55.97","1.58","76.17"
"7740","タムロン","東P","1041","+0.0(+0.00%)","0.00","119,931","-0.88","-0.89","22.90","0.50","22.59","-0.83","45.95"
