"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"1555","上場豪州リート","東ETF","2533.0","+10.0(+0.40%)","0.40","9,839","-0.07","-0.20","43.92","0.83","15.36","-0.28","52.94"
"1557","ＳＳ　Ｓ＆Ｐ　５００　ＥＴＦ","東ETF","107350.0","+1,050.0(+0.99%)","0.99","355,143","-0.55","-0.52","53.25","0.47","16.48","-0.41","48.30"
"1559","ＮＦタイ株式ＳＥＴ５０指数","東ETF","4045.0","+44.0(+1.10%)","1.10","460","-0.51","2.77","47.79","0.12","18.45","1.31","63.00"
"1560","ＮＦ　ＦＴＳＥブルサＫＬＣＩ","東ETF","6737.0","+87.0(+1.31%)","1.31","3,566","0.97","4.76","47.90","0.35","15.65","2.11","84.24"
"1563","東証グロース・コアＥＴＦ","東ETF","2255.0","+12.0(+0.53%)","0.53","29,575","0.10","2.57","29.00","0.38","26.59","0.81","61.25"
"1566","上場新興国債券","東ETF","53830.0","-200.0(-0.37%)","-0.37","16,596","-1.06","-1.21","16.64","0.16","7.91","-2.01","35.65"
"1568","ＴＯＰＩＸブル２倍上場投信","東ETF","776.2","+3.7(+0.48%)","0.48","1,866,971","-1.72","1.71","147.75","0.44","31.86","0.33","55.60"
"1569","ＴＯＰＩＸベア上場投信","東ETF","881.5","-2.7(-0.31%)","-0.31","81,225","0.73","-1.24","3.10","0.54","15.99","-0.45","42.75"
"156A","マテリアルグループ","東G","962","+29.0(+3.11%)","3.11","105,588","4.61","15.11","73.96","0.95","35.42","2.04","73.89"
"1570","ＮＦ日経レバ連動型上場投信","東ETF","48030.0","+660.0(+1.39%)","1.39","117,297,370","-0.06","4.04","189.95","0.56","41.29","0.77","57.60"
"1572","中国Ｈ株ブル２倍上場投信","東ETF","8269.0","+136.0(+1.67%)","1.67","16,184","0.13","0.80","84.99","0.37","31.26","0.29","51.40"
"1573","中国Ｈ株ベア上場投信","東ETF","7585.0","-114.0(-1.48%)","-1.48","4,033","-2.61","-3.05","9.90","0.20","19.19","-2.47","40.70"
"1577","ＮＦ野村日本株高配当７０連動型","東ETF","51100.0","-40.0(-0.08%)","-0.08","110,773","-0.97","0.65","62.22","0.51","13.67","0.25","55.26"
"1578","上場日経２２５（ミニ）","東ETF","4247.0","+23.0(+0.54%)","0.54","14,919","-0.03","1.79","72.64","0.16","20.56","0.74","57.43"
"1579","日経平均ブル２倍上場投信","東ETF","516.9","+7.4(+1.45%)","1.45","6,110,644","-0.06","4.07","191.05","0.54","41.45","0.77","57.58"
"157A","グリーンモンスター","東G","1165","-58.0(-4.74%)","-4.74","180,010","-7.45","20.21","184.15","0.20","122.92","1.08","66.04"
"1580","日経平均ベア上場投信","東ETF","1041.0","-8.5(-0.81%)","-0.81","154,839","-0.03","-2.40","2.21","0.45","20.96","-0.85","41.23"
"1585","ｉＦＴＰＸ　Ｅｘ−Ｆｉｎ","東ETF","2391.5","-56.0(-2.29%)","-2.29","310","-1.45","0.28","52.47","13.00","20.81","0.12","51.63"
"1586","上場ＴＯＰＩＸ　Ｅｘ−Ｆｉｎ","東ETF","2748.0","-5.0(-0.18%)","-0.18","282","-1.24","0.11","50.99","0.24","15.50","0.06","55.17"
"1591","ＮＦ　ＪＰＸ日経４００連動型","東ETF","32210.0","+100.0(+0.31%)","0.31","113,108","-0.68","1.08","59.06","0.96","15.49","0.41","56.67"
"1592","上場ＪＰＸ日経４００","東ETF","2950.0","+11.0(+0.37%)","0.37","3,000","-0.73","0.69","56.58","0.27","16.30","0.30","55.88"
"1593","ＭＡＸＩＳ　ＪＰＸ日経４００","東ETF","32940.0","-620.0(-1.85%)","-1.85","106,118","-1.31","0.24","55.41","3.27","15.71","0.10","52.29"
"1595","ＮＺＡＭ東証ＲＥＩＴ指数","東ETF","2013.0","-11.5(-0.57%)","-0.57","11,766","-0.95","-2.87","21.23","0.15","9.00","-2.54","18.75"
"1597","ＭＡＸＩＳ　Ｊリート上場投信","東ETF","2038.0","-20.0(-0.97%)","-0.97","228,344","-1.30","-2.27","22.77","0.40","15.83","-2.49","32.69"
"1599","ｉＦ　ＪＰＸ日経４００","東ETF","32560.0","-90.0(-0.28%)","-0.28","34,557","-1.15","0.32","57.60","0.64","15.48","0.14","50.48"
"159A","ＮＦ　ＪＰＸプライム１５０","東ETF","644.3","+0.5(+0.08%)","0.08","1,350","-1.01","0.16","50.54","0.24","18.86","0.06","51.16"
"1605","ＩＮＰＥＸ","東P","3244.0","+18.0(+0.56%)","0.56","7,848,933","0.70","2.36","96.49","0.69","28.35","1.21","54.30"
"160A","アズパートナーズ","東S","2420","-1.0(-0.04%)","-0.04","16,761","-1.89","-4.95","56.13","0.26","29.69","-1.88","32.81"
"1615","ＮＦ銀行業指数投信","東ETF","584.6","+3.6(+0.62%)","0.62","2,009,149","-0.78","3.53","109.83","0.50","23.86","0.64","59.02"
"1617","ＮＦ食品ＴＰＸ１７","東ETF","42300.0","-160.0(-0.38%)","-0.38","9,643","-0.80","0.94","22.33","0.44","12.59","0.59","62.53"
